Frame,Team,Player,X,Y
0,Team A,0,46.0,42.0
0,Team A,1,55.0,15.0
0,Team A,2,54.0,24.0
0,Team A,3,69.0,53.0
0,Team A,4,33.0,56.0
0,Team A,5,2.0,15.0
0,Team A,6,2.0,62.0
0,Team A,7,6.0,33.0
0,Team A,8,45.0,61.0
0,Team A,9,23.0,25.0
0,Team A,10,49.0,27.0
0,Team B,0,65.0,9.0
0,Team B,1,100.0,6.0
0,Team B,2,77.0,7.0
0,Team B,3,61.0,19.0
0,Team B,4,34.0,45.0
0,Team B,5,20.0,29.0
0,Team B,6,22.0,35.0
0,Team B,7,76.0,22.0
0,Team B,8,88.0,27.0
0,Team B,9,70.0,61.0
0,Team B,10,43.0,13.0
1,Team A,0,45.0,43.0
1,Team A,1,54.0,14.0
1,Team A,2,54.0,24.0
1,Team A,3,69.0,53.0
1,Team A,4,33.0,56.0
1,Team A,5,2.0,15.0
1,Team A,6,2.0,62.0
1,Team A,7,6.0,33.0
1,Team A,8,45.0,61.0
1,Team A,9,22.0,26.0
1,Team A,10,48.0,28.0
1,Team B,0,65.0,9.0
1,Team B,1,100.0,6.0
1,Team B,2,76.0,8.0
1,Team B,3,61.0,19.0
1,Team B,4,33.0,46.0
1,Team B,5,19.0,30.0
1,Team B,6,22.0,35.0
1,Team B,7,75.0,23.0
1,Team B,8,88.0,27.0
1,Team B,9,70.0,61.0
1,Team B,10,43.0,13.0
2,Team A,0,45.0,43.0
2,Team A,1,55.0,15.0
2,Team A,2,54.0,24.0
2,Team A,3,69.0,53.0
2,Team A,4,33.0,56.0
2,Team A,5,2.0,15.0
2,Team A,6,2.0,62.0
2,Team A,7,6.0,33.0
2,Team A,8,46.0,60.0
2,Team A,9,23.0,25.0
2,Team A,10,48.0,28.0
2,Team B,0,66.0,8.0
2,Team B,1,100.0,6.0
2,Team B,2,77.0,7.0
2,Team B,3,61.0,19.0
2,Team B,4,34.0,45.0
2,Team B,5,20.0,29.0
2,Team B,6,23.0,36.0
2,Team B,7,76.0,22.0
2,Team B,8,88.0,27.0
2,Team B,9,69.0,60.0
2,Team B,10,43.0,13.0
3,Team A,0,44.0,44.0
3,Team A,1,54.0,14.0
3,Team A,2,55.0,25.0
3,Team A,3,69.0,53.0
3,Team A,4,33.0,56.0
3,Team A,5,2.0,15.0
3,Team A,6,1.0,61.0
3,Team A,7,6.0,33.0
3,Team A,8,45.0,61.0
3,Team A,9,23.0,25.0
3,Team A,10,48.0,28.0
3,Team B,0,65.0,7.0
3,Team B,1,100.0,6.0
3,Team B,2,76.0,8.0
3,Team B,3,61.0,19.0
3,Team B,4,33.0,44.0
3,Team B,5,19.0,30.0
3,Team B,6,22.0,35.0
3,Team B,7,76.0,22.0
3,Team B,8,88.0,27.0
3,Team B,9,70.0,59.0
3,Team B,10,43.0,13.0
4,Team A,0,45.0,45.0
4,Team A,1,55.0,15.0
4,Team A,2,54.0,24.0
4,Team A,3,69.0,53.0
4,Team A,4,33.0,56.0
4,Team A,5,2.0,15.0
4,Team A,6,2.0,62.0
4,Team A,7,7.0,34.0
4,Team A,8,45.0,61.0
4,Team A,9,23.0,25.0
4,Team A,10,47.0,29.0
4,Team B,0,65.0,8.0
4,Team B,1,100.0,6.0
4,Team B,2,76.0,8.0
4,Team B,3,61.0,19.0
4,Team B,4,34.0,44.0
4,Team B,5,20.0,29.0
4,Team B,6,23.0,34.0
4,Team B,7,76.0,22.0
4,Team B,8,89.0,26.0
4,Team B,9,70.0,60.0
4,Team B,10,43.0,13.0
5,Team A,0,45.0,44.0
5,Team A,1,55.0,15.0
5,Team A,2,54.0,24.0
5,Team A,3,69.0,53.0
5,Team A,4,32.0,57.0
5,Team A,5,2.0,15.0
5,Team A,6,1.0,61.0
5,Team A,7,6.0,33.0
5,Team A,8,45.0,61.0
5,Team A,9,24.0,24.0
5,Team A,10,48.0,28.0
5,Team B,0,65.0,9.0
5,Team B,1,100.0,6.0
5,Team B,2,76.0,8.0
5,Team B,3,61.0,19.0
5,Team B,4,35.0,44.0
5,Team B,5,20.0,29.0
5,Team B,6,22.0,35.0
5,Team B,7,76.0,22.0
5,Team B,8,88.0,27.0
5,Team B,9,70.0,61.0
5,Team B,10,43.0,13.0
6,Team A,0,45.0,43.0
6,Team A,1,56.0,16.0
6,Team A,2,54.0,24.0
6,Team A,3,70.0,52.0
6,Team A,4,33.0,56.0
6,Team A,5,2.0,15.0
6,Team A,6,2.0,62.0
6,Team A,7,6.0,33.0
6,Team A,8,45.0,61.0
6,Team A,9,23.0,25.0
6,Team A,10,48.0,28.0
6,Team B,0,65.0,9.0
6,Team B,1,100.0,6.0
6,Team B,2,76.0,8.0
6,Team B,3,61.0,19.0
6,Team B,4,34.0,43.0
6,Team B,5,19.0,30.0
6,Team B,6,22.0,35.0
6,Team B,7,76.0,22.0
6,Team B,8,88.0,27.0
